Title = Snapshot #1
Variables=X Y Z PartID
Zone I= 6421, F=POINT
-9.366190e+00 2.396421e+01 7.329535e+00 0
5.872751e+00 -9.877804e+00 2.078496e+01 2
-5.578279e-01 1.186884e+01 2.816981e+01 8
2.875837e+00 1.726301e+01 2.070005e+01 12
-1.283225e+01 5.754363e+00 9.487988e+00 14
-3.834538e+01 2.004339e+01 1.079677e+00 17
-2.743545e+01 1.284277e+01 1.115368e+01 18
2.374091e+01 2.468625e+01 1.338255e+01 20
-4.340660e+01 -2.230378e+01 1.681184e+01 21
-2.828229e+01 -1.523578e+01 2.713249e+01 23
1.259859e+01 -1.242800e+01 1.365303e+01 31
-2.153722e+01 -1.490879e+00 5.481343e+00 41
2.510661e+00 8.063522e+00 1.132407e+01 42
-3.032251e+01 2.872465e+00 2.576878e+01 45
-2.116674e+00 -9.947918e-01 2.777054e+01 46
4.363101e+01 5.872265e+00 2.566672e+01 68
-3.278360e+01 -1.362455e+01 6.607421e+00 80
1.966192e+01 1.281802e+01 7.236256e+00 91
2.248089e+01 -1.142907e+01 2.265598e+01 95
2.389972e+01 1.557258e+01 2.720804e+01 98
-4.352265e+01 5.890555e+00 2.815398e+01 133
3.681043e+01 1.375792e+01 1.564845e+01 135
1.697598e+00 -8.664714e+00 1.554156e+01 137
2.639601e+01 9.488106e+00 1.382054e+01 150
-2.256461e+01 -7.504515e+00 1.127287e+01 158
-2.538452e+01 -2.207290e+01 1.766102e+01 166
2.365354e+01 -5.850415e-02 1.511111e+01 171
1.751011e+01 1.144428e+01 4.508381e+00 181
-1.541345e+01 9.891137e+00 1.348450e+01 214
-2.411378e+01 2.330607e+01 8.948710e+00 217
-4.760542e+01 -1.260018e+01 2.294368e+01 219
-1.851277e+00 1.706185e+00 8.953628e+00 233
1.615251e+01 -1.758197e+01 5.276478e+00 257
-4.803439e+01 -2.459362e+01 1.938380e+01 279
3.283374e+00 1.955570e+00 1.761901e+01 295
-4.857366e+01 -1.855764e+01 2.089123e+00 309
2.334532e+01 -2.449688e+01 6.943229e+00 311
3.195038e+01 -1.932790e+01 7.566915e+00 317
5.339128e-01 -6.122891e-01 2.287965e+01 319
4.557763e+00 -1.895063e+01 2.236731e+01 321
-4.839864e+01 1.491659e+01 1.417667e+01 325
-3.460592e+01 -1.050755e+01 7.280798e+00 340
3.459554e+01 2.381168e+01 2.670032e+01 352
3.713605e+01 1.576361e+01 1.638629e+01 363
4.612470e+01 -1.151319e+01 2.775423e+01 364
-2.037436e+01 2.346421e+01 3.618775e+00 373
3.365729e+01 -4.408103e-01 2.782116e+01 375
-3.191239e+01 1.333247e+01 4.288455e+00 396
1.033182e+01 9.849911e+00 1.296549e+01 412
-2.143798e+01 -1.937556e+01 2.650264e+01 425
