Title = Snapshot #23
Variables=X Y Z PartID
Zone I= 6417, F=POINT
-5.741554e+00 2.484178e+01 9.775078e+00 0
8.365372e+00 -1.083761e+01 2.042281e+01 2
7.771435e+00 1.115266e+01 2.788034e+01 8
7.059587e+00 2.060438e+01 2.151976e+01 12
-7.696042e+00 6.036713e+00 9.617523e+00 14
-3.457752e+01 1.950699e+01 9.604412e-01 17
-2.411300e+01 1.258340e+01 9.071199e+00 18
-3.729772e+01 -2.242159e+01 1.950854e+01 21
-2.089377e+01 -1.463875e+01 2.564197e+01 23
1.721549e+01 -1.198722e+01 1.462999e+01 31
-1.740032e+01 -8.444093e-01 4.172985e+00 41
5.511219e+00 7.379187e+00 1.272123e+01 42
-2.365246e+01 4.914681e+00 2.269425e+01 45
-4.611138e+01 -2.124929e+01 2.711711e+01 74
-2.974640e+01 -1.323822e+01 7.635353e+00 80
2.398150e+00 2.414851e+01 1.293634e+01 82
-4.992605e+01 -1.501103e+01 2.525848e+01 83
2.386970e+01 1.326494e+01 7.314653e+00 91
2.793075e+01 -1.157012e+01 2.227620e+01 95
3.068478e+01 1.354402e+01 2.570262e+01 98
4.346574e+01 1.246241e+01 1.674914e+01 135
5.688147e+00 -8.317881e+00 1.616600e+01 137
3.182603e+01 8.949016e+00 1.335421e+01 150
-1.895951e+01 -6.132753e+00 8.594067e+00 158
-2.297819e+01 -2.349220e+01 1.583233e+01 166
2.795899e+01 7.917348e-01 1.517244e+01 171
2.201036e+01 1.274582e+01 5.145373e+00 181
-1.094750e+01 6.916371e+00 1.133763e+01 214
-2.009722e+01 2.123648e+01 7.237004e+00 217
-4.238353e+01 -1.403673e+01 2.536872e+01 219
8.115621e-01 2.485734e+00 1.006793e+01 233
-4.738548e+01 1.640316e+01 9.338457e+00 234
2.088407e+01 -1.555930e+01 4.956499e+00 257
-4.492314e+01 -2.050488e+01 2.072381e+01 279
7.455691e+00 2.514650e+00 1.941145e+01 295
-4.516880e+01 -1.813138e+01 3.541550e+00 309
3.616335e+01 -1.927968e+01 6.807802e+00 317
6.364894e+00 3.776923e-01 2.518479e+01 319
8.098284e+00 -1.889208e+01 2.404358e+01 321
-4.318566e+01 1.491814e+01 1.774639e+01 325
3.281857e+01 2.067732e+01 2.988134e+01 337
-3.224291e+01 -1.100114e+01 7.718655e+00 340
4.049855e+01 2.368745e+01 2.817576e+01 352
4.386355e+01 1.480874e+01 1.727466e+01 363
-1.430777e+01 2.355022e+01 3.401565e+00 373
4.115715e+01 3.007077e-01 2.883633e+01 375
-2.732026e+01 1.245586e+01 4.406883e+00 396
1.496893e+01 1.030190e+01 1.190254e+01 412
-1.501382e+01 -1.962191e+01 2.445234e+01 425
