Title = Snapshot #45
Variables=X Y Z PartID
Zone I= 6362, F=POINT
1.184749e+01 -1.200242e+01 2.173749e+01 2
3.307312e+01 -2.465792e+01 1.973180e+01 6
1.545700e+01 1.081050e+01 2.753687e+01 8
1.223387e+01 2.188501e+01 2.249965e+01 12
-2.770654e+00 6.013150e+00 1.043501e+01 14
-3.056987e+01 1.864926e+01 7.962557e-01 17
-2.103581e+01 1.217339e+01 7.924326e+00 18
-3.119050e+01 -2.245535e+01 2.263596e+01 21
-1.378170e+01 -1.476097e+01 2.491371e+01 23
2.161246e+01 -1.113730e+01 1.571419e+01 31
-1.315223e+01 -1.974721e+00 6.554559e+00 41
9.271458e+00 7.579389e+00 1.512237e+01 42
-1.880698e+01 5.295588e+00 1.916396e+01 45
-3.943635e+01 -2.178181e+01 2.593422e+01 74
-2.762032e+01 -1.136642e+01 8.891954e+00 80
5.520498e+00 2.226754e+01 1.376103e+01 82
-4.436718e+01 -1.502542e+01 2.371753e+01 83
-4.578904e+01 1.134753e+01 2.531348e+01 90
2.789869e+01 1.349165e+01 7.561521e+00 91
3.329814e+01 -1.162486e+01 2.224498e+01 95
3.742365e+01 1.227994e+01 2.353722e+01 98
4.802813e+01 1.131688e+01 1.659398e+01 135
9.531205e+00 -7.671900e+00 1.740708e+01 137
3.677037e+01 8.583717e+00 1.272983e+01 150
-2.062941e+01 -2.494996e+01 2.403552e+01 154
-1.636302e+01 -5.116582e+00 7.334386e+00 158
3.219126e+01 1.664068e+00 1.507195e+01 171
2.671979e+01 1.394822e+01 6.006436e+00 181
-4.692707e+01 -6.269052e+00 1.933788e+01 199
-6.058121e+00 4.494031e+00 1.066771e+01 214
-1.678970e+01 1.993461e+01 4.286924e+00 217
-3.541753e+01 -1.530508e+01 2.538970e+01 219
3.539460e+00 2.896033e+00 1.183082e+01 233
-4.161134e+01 1.505410e+01 8.959614e+00 234
2.596560e+01 -1.396949e+01 5.412192e+00 257
-4.953787e+01 1.709084e+01 2.398934e+01 278
-3.963440e+01 -1.611523e+01 1.930278e+01 279
1.235193e+01 2.091650e+00 2.127923e+01 295
-3.984819e+01 -1.770218e+01 4.509336e+00 309
3.996547e+01 -1.913828e+01 6.187773e+00 317
1.367496e+01 1.257643e+00 2.746082e+01 319
1.332836e+01 -1.697354e+01 2.647033e+01 321
-3.858722e+01 1.575543e+01 2.048128e+01 325
-4.464432e+01 -1.147547e+01 1.771287e+00 329
4.128639e+01 1.970368e+01 2.962944e+01 337
-2.963112e+01 -1.114406e+01 8.709878e+00 340
-4.718416e+01 2.360266e+01 1.570982e+01 348
4.719887e+01 2.374942e+01 2.938232e+01 352
4.953863e+01 1.337561e+01 1.775957e+01 363
-8.224519e+00 2.295355e+01 2.909338e+00 373
4.889599e+01 1.182335e+00 2.954056e+01 375
3.673434e+01 2.447014e+01 2.012623e+01 379
-2.381029e+01 1.144922e+01 4.447307e+00 396
1.920338e+01 1.047560e+01 1.082020e+01 412
2.645442e+01 -1.713625e+01 2.934763e+01 418
-8.249752e+00 -1.923857e+01 2.227416e+01 425
7.208002e+00 1.476644e+01 6.062779e-01 426
5.512593e-01 1.366428e-01 9.592710e+00 427
2.388456e+01 1.023919e+01 2.365720e+01 441
2.362950e+01 1.445139e+01 2.804638e+01 443
1.509791e+01 2.241187e+01 2.770503e+01 454
2.841328e+01 9.789537e+00 2.467296e+01 457
2.280856e+00 2.375964e+01 2.035615e+01 467
3.800434e+01 -1.492263e+01 7.547094e+00 477
-4.508341e+01 8.381509e+00 5.580925e+00 483
